ano;mes;bioma;psn_g_c_m2;et_mm;pet_mm;ida;lst_dia_c;precip_mm;area_queimada_ha;oni;fonte
2003;3;Caatinga;93,2057;76,059;;0,3286;31,8825;98,66;2400,0;0,38;planilha Benfica 2001-2020 corrigida
2003;3;Cerrado;112,5683;98,0108;;0,4835;30,7175;186,2649;4300,0;0,38;planilha Benfica 2001-2020 corrigida
2003;3;Mata Atlântica;116,3219;97,0388;;0,4428;33,295;84,6906;5275,0;0,38;planilha Benfica 2001-2020 corrigida
2003;4;Caatinga;99,2552;76,9441;;0,3312;31,825;31,52;1275,0;-0,01;planilha Benfica 2001-2020 corrigida
2003;4;Cerrado;131,4172;98,2123;;0,4445;30,175;66,3088;10200,0;-0,01;planilha Benfica 2001-2020 corrigida
2003;4;Mata Atlântica;119,8185;106,1514;;0,509;30,4875;96,9518;1975,0;-0,01;planilha Benfica 2001-2020 corrigida
2003;5;Caatinga;87,3562;58,5073;;0,3143;31,605;51,56;600,0;-0,18;planilha Benfica 2001-2020 corrigida
2003;5;Cerrado;104,864;67,5021;;0,357;30,12;26,1497;12125,0;-0,18;planilha Benfica 2001-2020 corrigida
2003;5;Mata Atlântica;119,434;102,619;;0,6079;27,9675;140,8877;1400,0;-0,18;planilha Benfica 2001-2020 corrigida
2003;6;Caatinga;92,4669;45,9064;;0,2676;30,435;25,4;1150,0;-0,13;planilha Benfica 2001-2020 corrigida
2003;6;Cerrado;95,0396;47,2596;;0,2453;29,76;1,1875;19675,0;-0,13;planilha Benfica 2001-2020 corrigida
2003;6;Mata Atlântica;137,0808;97,2216;;0,5998;26,0625;71,1988;1700,0;-0,13;planilha Benfica 2001-2020 corrigida
2003;7;Caatinga;84,5967;37,6721;;0,2148;30,745;26,59;2075,0;0,09;planilha Benfica 2001-2020 corrigida
2003;7;Cerrado;79,232;32,9614;;0,1562;29,665;0,8473;36725,0;0,09;planilha Benfica 2001-2020 corrigida
2003;7;Mata Atlântica;132,5619;86,155;;0,5506;25,1225;89,8925;1150,0;0,09;planilha Benfica 2001-2020 corrigida
2003;8;Caatinga;66,4253;32,6841;;0,1722;34,0975;25,54;4550,0;0,14;planilha Benfica 2001-2020 corrigida
2003;8;Cerrado;48,1191;28,217;;0,1227;33,8775;17,6373;73750,0;0,14;planilha Benfica 2001-2020 corrigida
2003;8;Mata Atlântica;139,4921;87,3522;;0,5512;27,75;79,1887;975,0;0,14;planilha Benfica 2001-2020 corrigida
2003;9;Caatinga;55,0721;28,8681;;0,1245;37,535;16,61;47450,0;0,23;planilha Benfica 2001-2020 corrigida
2003;9;Cerrado;29,1111;26,1562;;0,0999;37,76;10,4714;292925,0;0,23;planilha Benfica 2001-2020 corrigida
2003;9;Mata Atlântica;149,3302;99,4373;;0,481;31,43;69,8455;9150,0;0,23;planilha Benfica 2001-2020 corrigida
2003;10;Caatinga;48,5393;29,6139;;0,122;39,7406;13,24;42400,0;0,23;planilha Benfica 2001-2020 corrigida
2003;10;Cerrado;43,445;36,6583;;0,1449;38,41;34,6698;155850,0;0,23;planilha Benfica 2001-2020 corrigida
2003;10;Mata Atlântica;137,1428;99,7416;;0,4488;33,4675;56,2465;23500,0;0,23;planilha Benfica 2001-2020 corrigida
