ano,mes,bioma,planilha,gee_v61,dif,dif_pct
2003,3,Caatinga,93.20571771821733,93.3428,0.137,0.15
2004,3,Mata Atlântica,133.2363056379536,134.1104,0.874,0.66
2004,3,Cerrado,138.32041601594813,138.2423,-0.078,-0.06
2004,3,Caatinga,143.73851002664972,143.9117,0.173,0.12
2005,3,Mata Atlântica,149.34445774377772,150.1692,0.825,0.55
2005,3,Cerrado,129.5442752912596,129.3932,-0.151,-0.12
2005,3,Caatinga,129.75234310811373,129.6457,-0.107,-0.08
2006,3,Mata Atlântica,104.788922811826,105.4282,0.639,0.61
2006,3,Cerrado,122.56244080491196,122.4905,-0.072,-0.06
2006,3,Caatinga,104.4750530610867,104.5158,0.041,0.04
2007,3,Mata Atlântica,178.0709292800407,179.1294,1.058,0.59
2007,3,Cerrado,156.52633457558105,156.4409,-0.085,-0.05
2007,3,Caatinga,146.3101838830334,146.371,0.061,0.04
2008,3,Mata Atlântica,126.63534513830396,127.3072,0.672,0.53
2008,3,Cerrado,128.88157532076826,128.4399,-0.442,-0.34
2008,3,Caatinga,123.25327580646619,123.1815,-0.072,-0.06
2009,3,Mata Atlântica,117.17683752809249,117.9768,0.8,0.68
2009,3,Cerrado,124.51868536965782,123.9987,-0.52,-0.42
2009,3,Caatinga,111.0382666128973,110.8559,-0.182,-0.16
2010,3,Mata Atlântica,110.80558495977427,111.4208,0.615,0.56
2010,3,Cerrado,133.65228194920573,133.3163,-0.336,-0.25
2010,3,Caatinga,106.61785150240877,106.6424,0.025,0.02
2011,3,Mata Atlântica,113.16843194775858,113.7527,0.584,0.52
2011,3,Cerrado,118.52768726026872,118.4922,-0.035,-0.03
2011,3,Caatinga,118.1160466708782,118.422,0.306,0.26
2012,3,Mata Atlântica,133.79420494890348,134.8679,1.074,0.8
2012,3,Cerrado,123.10846315730004,122.8971,-0.211,-0.17
2012,3,Caatinga,78.07846125468373,78.0087,-0.07,-0.09
2013,3,Mata Atlântica,122.33244966481762,123.077,0.745,0.61
2013,3,Cerrado,116.52681459301422,116.1413,-0.386,-0.33
2013,3,Caatinga,72.43230209001432,71.9972,-0.435,-0.6
2014,3,Mata Atlântica,147.84796076496372,148.4774,0.629,0.43
2014,3,Cerrado,133.18735833028992,132.601,-0.586,-0.44
2014,3,Caatinga,115.94638647904439,115.3832,-0.563,-0.49
2015,3,Mata Atlântica,116.18415179001661,117.0259,0.842,0.72
2015,3,Cerrado,128.2966681261564,128.0122,-0.284,-0.22
2015,3,Caatinga,102.82956720452145,102.5011,-0.328,-0.32
2016,3,Mata Atlântica,121.38901530775487,122.0626,0.674,0.56
2016,3,Cerrado,120.17618798765957,119.5662,-0.61,-0.51
2016,3,Caatinga,103.88878045928234,103.4657,-0.423,-0.41
2017,3,Mata Atlântica,110.51552690518136,111.2588,0.743,0.67
2017,3,Cerrado,132.40334317311903,131.8733,-0.53,-0.4
2017,3,Caatinga,88.63263826934855,88.1497,-0.483,-0.54
2018,3,Mata Atlântica,128.7107188978108,129.3485,0.638,0.5
