ano,mes,bioma,psn_g_c_m2,et_mm,pet_mm,ida,lst_dia_c,precip_mm,area_queimada_ha,oni
2017,3,Mata Atlântica,111.2588,98.9608,221.7265,0.4463,30.795,112.6526,0.0,0.27
2017,4,Caatinga,99.9276,68.8532,209.9655,0.3279,31.7188,52.2286,325.0,0.32
2017,4,Cerrado,139.7765,105.9731,204.358,0.5186,31.228,54.6634,6325.0,0.32
2017,4,Mata Atlântica,130.338,109.6741,199.6676,0.5493,27.4576,92.4676,0.0,0.32
2017,5,Caatinga,81.6005,48.7685,190.4555,0.2561,32.3009,28.4637,500.0,0.35
2017,5,Cerrado,120.3385,74.1308,189.8423,0.3905,31.5847,16.6735,10375.0,0.35
2017,5,Mata Atlântica,126.8522,107.1381,166.6171,0.643,26.2889,82.4595,0.0,0.35
2017,6,Caatinga,76.857,37.0316,174.8527,0.2118,30.2936,25.6442,0.0,0.32
2017,6,Cerrado,97.8212,45.5155,187.8791,0.2423,31.0016,1.1301,6825.0,0.32
2017,6,Mata Atlântica,127.9068,95.279,150.2562,0.6341,25.0049,85.7076,0.0,0.32
2017,7,Caatinga,80.2979,33.1747,178.0385,0.1863,28.4539,32.2172,2675.0,0.14
2017,7,Cerrado,95.5835,34.445,191.4938,0.1799,30.0942,5.2087,6600.0,0.14
2017,7,Mata Atlântica,127.5524,84.8144,139.4873,0.608,22.8579,92.7004,625.0,0.14
2017,8,Caatinga,63.3974,27.4145,213.3234,0.1285,33.3519,7.8191,7200.0,-0.07
2017,8,Cerrado,53.6807,23.7101,233.188,0.1017,35.9587,0.9394,63975.0,-0.07
2017,8,Mata Atlântica,149.984,92.2802,171.6106,0.5377,25.2863,32.6471,1700.0,-0.07
2017,9,Caatinga,61.706,26.7476,236.7777,0.113,34.7296,36.1409,10650.0,-0.23
2017,9,Cerrado,42.2376,21.5881,253.5824,0.0851,39.2185,2.16,108225.0,-0.23
2017,9,Mata Atlântica,146.0235,92.705,197.2265,0.47,26.4343,72.7057,300.0,-0.23
2017,10,Caatinga,42.2028,27.0995,244.1665,0.111,39.3258,10.5854,77475.0,-0.44
2017,10,Cerrado,19.6389,28.5968,242.4446,0.118,42.1845,17.3443,302200.0,-0.44
2017,10,Mata Atlântica,132.0946,97.9636,219.5007,0.4463,29.9761,21.0724,2125.0,-0.44
2017,11,Caatinga,73.291,55.702,222.9052,0.2499,37.9873,81.9726,4175.0,-0.61
2017,11,Cerrado,91.9629,81.2857,191.2537,0.425,36.1149,152.6663,17500.0,-0.61
2017,11,Mata Atlântica,122.1645,107.8231,209.9507,0.5136,31.0691,114.811,700.0,-0.61
2017,12,Caatinga,81.9851,61.8456,204.2074,0.3029,35.2185,77.7016,850.0,-0.76
2017,12,Cerrado,108.3088,90.2231,176.4929,0.5112,33.401,154.5464,10250.0,-0.76
2017,12,Mata Atlântica,121.4368,105.0439,191.9733,0.5472,29.5919,141.7177,25.0,-0.76
2018,1,Caatinga,77.7279,57.5447,227.4679,0.253,35.0169,57.4675,0.0,-0.71
2018,1,Cerrado,128.8096,98.5627,206.4154,0.4775,32.48,122.9015,25.0,-0.71
2018,1,Mata Atlântica,148.9676,109.2338,226.6513,0.4819,30.4501,50.4282,1400.0,-0.71
2018,2,Caatinga,106.9772,80.9386,216.4868,0.3739,31.9658,135.4162,0.0,-0.67
2018,2,Cerrado,140.454,119.4782,194.5646,0.6141,28.3552,228.2245,9100.0,-0.67
2018,2,Mata Atlântica,133.56,113.9063,227.8218,0.5,29.3776,112.6336,3375.0,-0.67
2018,3,Caatinga,131.402,103.3198,209.5864,0.493,30.6443,114.0099,0.0,-0.55
2018,3,Cerrado,141.0566,120.3985,196.6263,0.6123,29.3717,175.6036,25225.0,-0.55
2018,3,Mata Atlântica,129.3485,116.204,208.879,0.5563,29.3858,99.9355,1150.0,-0.55
2018,4,Caatinga,132.9883,90.1162,199.7589,0.4511,29.8049,40.0045,225.0,-0.35
2018,4,Cerrado,146.6212,114.5274,184.1806,0.6218,29.4562,82.1325,4375.0,-0.35
2018,4,Mata Atlântica,143.0091,112.5524,190.4263,0.5911,26.4443,108.4573,800.0,-0.35
2018,5,Caatinga,108.0424,59.8316,183.0038,0.3269,30.2372,24.6901,575.0,-0.07
2018,5,Cerrado,146.6775,83.9937,179.1089,0.469,30.5082,3.3549,1600.0,-0.07
2018,5,Mata Atlântica,139.3573,106.7449,163.3507,0.6535,25.5322,90.1332,0.0,-0.07
2018,6,Caatinga,90.9069,43.7168,168.7262,0.2591,29.3319,28.4974,1375.0,0.13
2018,6,Cerrado,118.4909,59.2636,169.696,0.3492,30.4869,2.5106,6825.0,0.13
2018,6,Mata Atlântica,131.8158,95.8664,145.627,0.6583,24.1388,85.1982,0.0,0.13
