ano,mes,bioma,psn_g_c_m2,et_mm,pet_mm,ida,lst_dia_c,precip_mm,area_queimada_ha,oni
2023,5,Cerrado,136.5213,88.7802,179.141,0.4956,28.9338,20.6235,15600.0,0.46
2023,5,Mata Atlântica,131.9808,104.0803,161.8748,0.643,24.5691,67.7027,925.0,0.46
2023,6,Caatinga,92.0555,48.3316,171.3387,0.2821,28.3451,22.4815,1550.0,0.73
2023,6,Cerrado,115.6054,62.6494,172.3263,0.3636,28.93,0.961,17000.0,0.73
2023,6,Mata Atlântica,134.9036,93.9908,146.0301,0.6436,23.8526,51.7528,1675.0,0.73
2023,7,Caatinga,78.2411,36.525,183.7009,0.1988,29.4287,15.5573,10675.0,1.0
2023,7,Cerrado,89.185,40.9886,189.4176,0.2164,30.1044,1.1156,20550.0,1.0
2023,7,Mata Atlântica,132.1512,86.4808,147.8307,0.585,23.963,49.9128,400.0,1.0
2023,8,Caatinga,58.829,27.501,215.6897,0.1275,32.2656,14.1969,6200.0,1.25
2023,8,Cerrado,62.0203,30.7582,218.386,0.1408,33.4383,16.4325,66125.0,1.25
2023,8,Mata Atlântica,136.9226,88.0487,176.7802,0.4981,26.0089,38.2334,1625.0,1.25
2023,9,Caatinga,42.4103,24.0841,248.028,0.0971,35.9733,10.8124,59775.0,1.5
2023,9,Cerrado,33.381,27.4977,252.3079,0.109,37.8655,10.5787,159200.0,1.5
2023,9,Mata Atlântica,142.1113,92.8065,210.9534,0.4399,28.6199,27.4001,1725.0,1.5
2023,10,Caatinga,34.889,24.1654,256.7722,0.0941,37.9595,7.6566,118350.0,1.74
2023,10,Cerrado,38.8737,39.7086,242.7275,0.1636,38.7355,34.2868,227175.0,1.74
2023,10,Mata Atlântica,119.6809,87.9519,226.6746,0.388,32.0471,23.2603,7150.0,1.74
2023,11,Caatinga,28.4703,29.9254,264.8006,0.113,38.0794,37.0456,24100.0,1.9
2023,11,Cerrado,38.7775,41.8953,265.3821,0.1579,37.583,63.148,31450.0,1.9
2023,11,Mata Atlântica,113.2444,86.4963,250.1933,0.3457,33.9187,15.3486,39275.0,1.9
2023,12,Caatinga,32.8023,31.7306,222.0613,0.1429,36.1002,55.9401,15925.0,1.99
2023,12,Cerrado,40.758,46.3767,221.4696,0.2094,35.3928,94.1158,18825.0,1.99
2023,12,Mata Atlântica,90.8254,78.6463,217.1317,0.3622,33.1199,85.7138,16775.0,1.99
2024,1,Caatinga,73.842,65.5133,210.2518,0.3116,33.1719,225.8716,1875.0,1.84
2024,1,Cerrado,96.8224,91.2835,192.0975,0.4752,31.7415,272.0337,6900.0,1.84
2024,1,Mata Atlântica,91.1168,90.5586,205.5047,0.4407,29.8667,273.6038,3725.0,1.84
2024,2,Caatinga,121.7954,102.3041,215.2568,0.4753,28.3986,162.1859,50.0,1.53
2024,2,Cerrado,130.8513,118.0541,199.3592,0.5922,27.4594,200.2543,10450.0,1.53
2024,2,Mata Atlântica,130.7425,117.0616,207.5999,0.5639,27.8239,177.7887,0.0,1.53
2024,3,Caatinga,125.0176,113.7391,243.8622,0.4664,28.8425,46.0212,5000.0,1.18
2024,3,Cerrado,140.012,116.4082,232.8266,0.5,29.5825,97.4008,46200.0,1.18
2024,3,Mata Atlântica,132.1963,123.8018,235.865,0.5249,28.3717,69.6629,0.0,1.18
2024,4,Caatinga,115.8023,103.0055,210.7177,0.4888,27.7204,83.6508,200.0,0.77
2024,4,Cerrado,130.1207,104.1081,205.7343,0.506,29.0724,89.9142,14825.0,0.77
2024,4,Mata Atlântica,136.5176,122.5515,200.0542,0.6126,26.2923,142.244,0.0,0.77
2024,5,Caatinga,108.9349,74.3615,189.3161,0.3928,28.0442,22.5076,525.0,0.43
2024,5,Cerrado,105.0346,69.6544,193.8739,0.3593,29.5331,2.0889,7775.0,0.43
2024,5,Mata Atlântica,131.295,108.8932,175.2921,0.6212,25.9898,48.6356,0.0,0.43
2024,6,Caatinga,96.3152,51.7149,173.3166,0.2984,26.9176,35.8393,3900.0,0.18
2024,6,Cerrado,89.2582,44.1601,183.8388,0.2402,28.2088,3.8901,9575.0,0.18
2024,6,Mata Atlântica,132.6019,96.7646,150.3128,0.6438,23.8559,86.515,550.0,0.18
2024,7,Caatinga,90.449,37.7941,183.2316,0.2063,26.6336,15.0394,4400.0,0.06
2024,7,Cerrado,79.3255,32.0156,196.4249,0.163,28.7417,0.6758,14200.0,0.06
2024,7,Mata Atlântica,130.6866,82.3295,150.9018,0.5456,23.7124,34.6308,600.0,0.06
2024,8,Caatinga,70.6383,30.3009,212.2694,0.1427,29.8352,16.8086,16075.0,-0.04
2024,8,Cerrado,48.2179,23.1336,228.7685,0.1011,32.3297,1.6479,98175.0,-0.04
2024,8,Mata Atlântica,144.8861,89.6206,175.5784,0.5104,25.0583,45.9278,1550.0,-0.04
2024,9,Caatinga,57.0734,24.8506,245.452,0.1012,32.9471,2.8441,21500.0,-0.12
2024,9,Cerrado,20.0658,16.4084,256.714,0.0639,36.3238,0.5446,415250.0,-0.12
2024,9,Mata Atlântica,142.8133,87.7044,211.5537,0.4146,27.4757,18.9709,1700.0,-0.12
2024,10,Caatinga,41.3372,31.8823,248.2231,0.1284,36.0692,42.1722,28000.0,-0.19
2024,10,Cerrado,30.5643,32.2698,228.8901,0.141,36.2132,118.4648,252550.0,-0.19
2024,10,Mata Atlântica,117.9204,89.8158,215.4577,0.4169,29.4678,46.3587,1750.0,-0.19
2024,11,Caatinga,71.1503,66.8253,238.06,0.2807,33.3202,102.6643,2475.0,-0.29
2024,11,Cerrado,94.9361,83.4999,219.4646,0.3805,31.9713,206.1344,53125.0,-0.29
2024,11,Mata Atlântica,134.9953,105.8382,228.2082,0.4638,29.8753,144.7655,1025.0,-0.29
2024,12,Caatinga,57.8838,61.3628,231.7359,0.2648,32.7477,30.5499,9600.0,-0.43
2024,12,Cerrado,83.2495,85.0017,202.1269,0.4205,30.368,120.6283,2050.0,-0.43
2024,12,Mata Atlântica,120.8973,98.5217,226.0377,0.4359,29.1756,27.8037,4175.0,-0.43
2025,1,Caatinga,82.6815,69.8028,211.8512,0.3295,29.2348,131.9072,450.0,-0.46
2025,1,Cerrado,113.1227,102.0424,192.8818,0.529,25.8101,216.5941,3625.0,-0.46
2025,1,Mata Atlântica,116.5939,101.2296,202.4796,0.4999,27.8679,114.8697,850.0,-0.46
