ano,mes,Mata Atlântica,Cerrado,Caatinga,fonte
2017,9,145.041,42.451,62.06,planilha Benfica (MOD17A2H v6)
2017,10,131.058,19.862,42.639,planilha Benfica (MOD17A2H v6)
2017,11,121.326,92.611,73.693,planilha Benfica (MOD17A2H v6)
2017,12,120.538,108.685,82.227,planilha Benfica (MOD17A2H v6)
2018,1,147.949,128.937,77.911,planilha Benfica (MOD17A2H v6)
2018,2,132.604,140.531,106.612,planilha Benfica (MOD17A2H v6)
2018,3,128.711,141.608,131.437,planilha Benfica (MOD17A2H v6)
2018,4,142.179,147.486,133.606,planilha Benfica (MOD17A2H v6)
2018,5,138.563,147.449,108.583,planilha Benfica (MOD17A2H v6)
2018,6,131.092,118.847,91.236,planilha Benfica (MOD17A2H v6)
2018,7,145.298,95.909,76.031,planilha Benfica (MOD17A2H v6)
2018,8,133.93,65.549,55.344,planilha Benfica (MOD17A2H v6)
2018,9,135.692,31.3,40.76,planilha Benfica (MOD17A2H v6)
2018,10,103.279,53.871,40.985,planilha Benfica (MOD17A2H v6)
2018,11,120.451,110.418,78.268,planilha Benfica (MOD17A2H v6)
2018,12,125.092,117.191,106.019,planilha Benfica (MOD17A2H v6)
2019,1,136.406,125.347,85.641,planilha Benfica (MOD17A2H v6)
2019,2,115.049,131.208,78.597,planilha Benfica (MOD17A2H v6)
2019,3,90.238,125.022,92.961,planilha Benfica (MOD17A2H v6)
2019,4,137.724,144.783,131.904,planilha Benfica (MOD17A2H v6)
2019,5,126.298,137.932,105.458,planilha Benfica (MOD17A2H v6)
2019,6,125.246,127.346,96.849,planilha Benfica (MOD17A2H v6)
2019,7,127.589,98.893,82.91,planilha Benfica (MOD17A2H v6)
2019,8,151.064,78.786,75.64,planilha Benfica (MOD17A2H v6)
2019,9,152.27,44.541,55.234,planilha Benfica (MOD17A2H v6)
2019,10,132.738,43.919,41.312,planilha Benfica (MOD17A2H v6)
2019,11,117.969,73.278,47.829,planilha Benfica (MOD17A2H v6)
2019,12,120.879,82.276,45.77,planilha Benfica (MOD17A2H v6)
2020,1,111.086,111.276,79.477,planilha Benfica (MOD17A2H v6)
2020,2,133.745,133.01,130.151,planilha Benfica (MOD17A2H v6)
2020,3,112.413,116.363,113.589,planilha Benfica (MOD17A2H v6)
2020,4,138.237,135.785,142.716,planilha Benfica (MOD17A2H v6)
2020,5,133.649,145.44,139.773,planilha Benfica (MOD17A2H v6)
2020,6,140.868,151.09,138.311,planilha Benfica (MOD17A2H v6)
2020,7,153.615,129.294,115.416,planilha Benfica (MOD17A2H v6)
2020,8,159.676,100.54,94.533,planilha Benfica (MOD17A2H v6)
2020,9,162.209,56.372,66.43,planilha Benfica (MOD17A2H v6)
2020,10,112.926,58.962,49.227,planilha Benfica (MOD17A2H v6)
2020,11,157.888,119.407,115.322,planilha Benfica (MOD17A2H v6)
2020,12,159.31,118.408,91.9,planilha Benfica (MOD17A2H v6)
2021,1,143.725,129.574,75.474,GEE MOD17A2HGF v6.1
2021,2,122.07,127.384,86.477,GEE MOD17A2HGF v6.1
2021,3,130.914,131.354,94.413,GEE MOD17A2HGF v6.1
2021,4,116.242,105.691,85.787,GEE MOD17A2HGF v6.1
2021,5,121.946,110.77,92.635,GEE MOD17A2HGF v6.1
2021,6,116.521,92.419,78.302,GEE MOD17A2HGF v6.1
2021,7,120.951,79.053,76.621,GEE MOD17A2HGF v6.1
2021,8,132.025,63.482,72.999,GEE MOD17A2HGF v6.1
2021,9,127.35,6.914,42.402,GEE MOD17A2HGF v6.1
2021,10,111.473,46.845,44.871,GEE MOD17A2HGF v6.1
2021,11,139.105,112.412,111.284,GEE MOD17A2HGF v6.1
2021,12,123.395,99.203,107.748,GEE MOD17A2HGF v6.1
2022,1,151.133,134.788,142.154,GEE MOD17A2HGF v6.1
2022,2,146.28,146.209,135.83,GEE MOD17A2HGF v6.1
2022,3,159.401,167.366,138.364,GEE MOD17A2HGF v6.1
2022,4,135.491,144.078,107.179,GEE MOD17A2HGF v6.1
2022,5,131.711,125.463,94.75,GEE MOD17A2HGF v6.1
2022,6,131.54,100.286,85.892,GEE MOD17A2HGF v6.1
2022,7,130.44,89.167,80.932,GEE MOD17A2HGF v6.1
2022,8,134.032,70.75,72.99,GEE MOD17A2HGF v6.1
2022,9,138.026,34.577,52.875,GEE MOD17A2HGF v6.1
2022,10,132.044,51.008,55.319,GEE MOD17A2HGF v6.1
2022,11,112.16,101.981,108.318,GEE MOD17A2HGF v6.1
2022,12,125.114,110.543,126.358,GEE MOD17A2HGF v6.1
2023,1,159.631,140.888,140.761,GEE MOD17A2HGF v6.1
2023,2,175.988,179.198,137.144,GEE MOD17A2HGF v6.1
2023,3,162.201,140.543,110.64,GEE MOD17A2HGF v6.1
2023,4,129.217,136.668,102.563,GEE MOD17A2HGF v6.1
2023,5,131.981,136.521,100.807,GEE MOD17A2HGF v6.1
2023,6,134.904,115.605,92.056,GEE MOD17A2HGF v6.1
2023,7,132.151,89.185,78.241,GEE MOD17A2HGF v6.1
2023,8,136.923,62.02,58.829,GEE MOD17A2HGF v6.1
2023,9,142.111,33.381,42.41,GEE MOD17A2HGF v6.1
2023,10,119.681,38.874,34.889,GEE MOD17A2HGF v6.1
2023,11,113.244,38.778,28.47,GEE MOD17A2HGF v6.1
2023,12,90.825,40.758,32.802,GEE MOD17A2HGF v6.1
2024,1,91.117,96.822,73.842,GEE MOD17A2HGF v6.1
2024,2,130.742,130.851,121.795,GEE MOD17A2HGF v6.1
2024,3,132.196,140.012,125.018,GEE MOD17A2HGF v6.1
2024,4,136.518,130.121,115.802,GEE MOD17A2HGF v6.1
2024,5,131.295,105.035,108.935,GEE MOD17A2HGF v6.1
2024,6,132.602,89.258,96.315,GEE MOD17A2HGF v6.1
2024,7,130.687,79.326,90.449,GEE MOD17A2HGF v6.1
2024,8,144.886,48.218,70.638,GEE MOD17A2HGF v6.1
2024,9,142.813,20.066,57.073,GEE MOD17A2HGF v6.1
2024,10,117.92,30.564,41.337,GEE MOD17A2HGF v6.1
2024,11,134.995,94.936,71.15,GEE MOD17A2HGF v6.1
2024,12,120.897,83.25,57.884,GEE MOD17A2HGF v6.1
2025,1,116.594,113.123,82.682,GEE MOD17A2HGF v6.1
2025,2,162.558,138.605,111.061,GEE MOD17A2HGF v6.1
2025,3,139.096,78.531,69.713,GEE MOD17A2HGF v6.1
2025,4,113.416,90.178,68.431,GEE MOD17A2HGF v6.1
2025,5,142.615,117.624,107.116,GEE MOD17A2HGF v6.1
2025,6,143.528,84.702,89.081,GEE MOD17A2HGF v6.1
2025,7,153.767,79.44,87.391,GEE MOD17A2HGF v6.1
2025,8,150.559,50.377,70.808,GEE MOD17A2HGF v6.1
2025,9,150.386,19.37,54.984,GEE MOD17A2HGF v6.1
2025,10,134.5,23.336,46.07,GEE MOD17A2HGF v6.1
2025,11,133.184,84.41,75.493,GEE MOD17A2HGF v6.1
2025,12,144.391,128.168,99.747,GEE MOD17A2HGF v6.1
