ano,mes,bioma,psn_g_c_m2_planilha,ida_planilha,et_mm_planilha,precip_mm_planilha,lst_dia_c_planilha,area_queimada_ha_planilha,psn_g_c_m2_gee,et_mm_gee,pet_mm,ida_gee,lst_dia_c_gee,precip_mm_gee,precip_v06_mm,area_queimada_ha_gee,oni
2014,2,Caatinga,126.2668,0.3544,82.1971,54.72,32.6475,50,125.5599,80.1137,226.0711,0.3544,32.389,54.3863,55.3103,100,-0.21
2015,2,Mata Atlântica,125.4871,0.4416,102.1238,120.37,31.5175,1375,126.1687,101.2655,225.1541,0.4498,29.9684,107.0987,120.6201,1350,0.65
2015,2,Cerrado,128.8965,0.5452,117.4179,155.8,31.6675,3400,129.2754,109.1961,195.0921,0.5597,31.2396,150.0544,156.0974,4250,0.65
2015,2,Caatinga,96.1016,0.3536,80.1386,115.6,33.9825,100,95.7949,77.2851,214.3873,0.3605,33.0158,117.2135,116.06,125,0.65
2016,2,Mata Atlântica,149.1057,0.4755,125.6449,27.26,29.9075,5375,149.5746,120.9107,246.3683,0.4908,28.7887,27.3069,27.5014,5700,2.21
2016,2,Cerrado,166.4037,0.5094,131.4216,37.41,31.895,5525,165.8256,121.1851,230.2847,0.5262,31.7067,33.2492,38.442,5275,2.21
2016,2,Caatinga,157.9442,0.4613,119.5707,26.02,31.1975,525,157.5103,114.262,238.8569,0.4784,30.462,25.4155,26.3504,575,2.21
2017,2,Mata Atlântica,124.3516,0.4186,89.1826,109.14,30.6175,25,125.3509,94.1059,228.5957,0.4117,29.8296,95.4937,111.0053,0,0.08
2017,2,Cerrado,129.8955,0.6064,118.7085,214.83,30.295,2275,129.6465,115.3251,187.5611,0.6149,29.8961,209.0534,216.8915,2125,0.08
2017,2,Caatinga,80.5772,0.2839,60.5446,80.43,33.9375,75,80.2987,59.8694,217.6078,0.2751,34.2268,78.0775,82.5853,50,0.08
2018,2,Mata Atlântica,132.6036,0.4987,113.3054,116.02,30.7075,3075,133.56,113.9063,227.8218,0.5,29.3776,112.6258,118.0047,3375,-0.67
2018,2,Cerrado,140.5314,0.5967,124.7567,247.73,29.2525,8775,140.454,119.4782,194.5646,0.6141,28.3552,228.2209,247.4789,9100,-0.67
2018,2,Caatinga,106.6119,0.3747,81.035,132.04,31.72,0,106.9772,80.9386,216.4868,0.3739,31.9658,135.4111,134.1666,0,-0.67
2019,2,Mata Atlântica,115.0487,0.3904,102.7022,42.49,33.19,8525,115.9743,98.1792,241.7532,0.4061,32.5597,40.3945,42.3725,8675,0.94
2019,2,Cerrado,131.2083,0.5077,119.5785,143.55,32.135,2900,131.0066,112.6735,214.7505,0.5247,31.9105,151.2517,144.552,4900,0.94
2019,2,Caatinga,78.5975,0.2693,66.3935,87.54,34.01,1375,78.3853,63.6158,231.4964,0.2748,34.6206,96.9832,89.1269,1375,0.94
