tipo,bioma,variavel,fase,n,minimo,P10,Q1,mediana,media,Q3,P90,maximo,bigode_inf,bigode_sup,n_outliers,amplitude,IQR,desvio_padrao
anomalia,Cerrado,PRE,La Niña,70,-137.823,-55.355,-14.348,-1.987,8.481,35.957,74.157,250.229,-84.161,109.054,4,388.052,50.305,55.973
anomalia,Cerrado,TST,El Niño,76,-7.019,-1.504,-0.589,0.21,0.402,1.305,2.969,5.105,-3.054,3.595,6,12.125,1.893,1.989
anomalia,Cerrado,TST,Neutro,151,-4.751,-2.154,-0.883,0.143,-0.007,1.048,1.688,4.045,-3.414,3.55,3,8.796,1.931,1.587
anomalia,Cerrado,TST,La Niña,70,-4.151,-2.616,-1.297,-0.406,-0.421,0.489,1.277,3.184,-3.698,2.61,2,7.334,1.786,1.517
anomalia,Cerrado,WAI,El Niño,76,-0.249,-0.111,-0.056,0.003,-0.003,0.067,0.094,0.306,-0.225,0.16,3,0.555,0.123,0.099
anomalia,Cerrado,WAI,Neutro,151,-0.259,-0.13,-0.073,-0.015,-0.016,0.044,0.099,0.218,-0.231,0.218,3,0.478,0.117,0.095
anomalia,Cerrado,WAI,La Niña,70,-0.206,-0.041,-0.017,0.038,0.038,0.09,0.139,0.205,-0.147,0.205,1,0.411,0.107,0.081
anomalia,Cerrado,BURN,El Niño,76,-306452.0,-128460.333,-15939.25,-2716.896,-14128.452,4570.812,41393.042,269698.0,-36294.792,30809.0,21,576150.0,20510.062,96395.425
anomalia,Cerrado,BURN,Neutro,151,-312627.0,-102679.0,-16871.354,-4533.0,-11019.902,1968.0,18508.333,880098.0,-37670.0,23005.0,32,1192725.0,18839.354,103627.759
anomalia,Cerrado,BURN,La Niña,70,-302427.0,-19952.292,-7960.417,19.0,39110.966,13608.75,152906.788,725198.0,-37869.792,45611.0,16,1027625.0,21569.167,154130.566
anomalia,Caatinga,NP,El Niño,76,-50.633,-33.085,-14.742,-3.316,-4.374,6.959,23.27,45.291,-44.425,35.762,3,95.924,21.7,20.213
anomalia,Caatinga,NP,Neutro,151,-53.627,-25.551,-13.562,-3.355,-1.243,7.381,28.799,55.403,-40.698,38.535,6,109.031,20.943,20.248
anomalia,Caatinga,NP,La Niña,70,-30.77,-17.216,-4.729,6.338,7.43,23.035,31.883,46.566,-30.77,46.566,0,77.337,27.763,18.815
anomalia,Caatinga,EV,El Niño,76,-37.043,-24.327,-10.289,-1.959,-1.82,8.431,17.774,33.064,-37.043,33.064,0,70.108,18.72,15.657
anomalia,Caatinga,EV,Neutro,151,-47.874,-17.9,-8.783,-3.93,-1.386,3.841,23.165,42.556,-27.263,21.132,24,90.43,12.624,15.756
anomalia,Caatinga,EV,La Niña,70,-23.499,-13.423,-5.935,3.431,4.966,15.847,28.302,37.307,-23.499,37.307,0,60.807,21.782,15.163
anomalia,Caatinga,PRE,El Niño,76,-96.936,-60.195,-39.217,-4.145,-0.217,21.987,58.315,283.521,-96.936,85.983,4,380.456,61.204,58.306
anomalia,Caatinga,PRE,Neutro,151,-95.589,-45.457,-15.508,-2.582,-2.059,7.841,26.109,256.97,-46.57,41.844,24,352.56,23.35,42.718
anomalia,Caatinga,PRE,La Niña,70,-99.507,-34.965,-15.098,-2.924,4.678,23.382,57.209,197.781,-66.822,70.769,7,297.288,38.48,45.977
anomalia,Caatinga,TST,El Niño,76,-4.213,-1.769,-0.59,0.409,0.541,1.886,2.445,5.511,-4.213,5.511,0,9.724,2.476,1.915
anomalia,Caatinga,TST,Neutro,151,-4.982,-2.8,-1.421,0.379,0.044,1.353,2.198,4.356,-4.982,4.356,0,9.338,2.774,1.883
anomalia,Caatinga,TST,La Niña,70,-5.622,-2.978,-1.447,-0.604,-0.682,0.423,1.459,2.759,-4.219,2.759,3,8.381,1.871,1.85
anomalia,Caatinga,WAI,El Niño,76,-0.195,-0.124,-0.049,-0.012,-0.01,0.045,0.083,0.186,-0.186,0.15,3,0.381,0.094,0.08
anomalia,Caatinga,WAI,Neutro,151,-0.251,-0.094,-0.056,-0.022,-0.008,0.02,0.109,0.246,-0.165,0.133,16,0.496,0.076,0.088
anomalia,Caatinga,WAI,La Niña,70,-0.123,-0.066,-0.029,0.022,0.027,0.094,0.132,0.204,-0.123,0.204,0,0.327,0.123,0.079
anomalia,Caatinga,BURN,El Niño,76,-73416.667,-31766.833,-6655.208,-1249.5,-3529.648,286.0,7232.0,232658.0,-13742.0,8844.792,21,306074.667,6941.208,34156.483
anomalia,Caatinga,BURN,Neutro,151,-62341.667,-22117.0,-2652.5,-639.0,-3237.361,558.0,2883.0,114558.333,-7198.0,4927.0,36,176900.0,3210.5,18810.667
anomalia,Caatinga,BURN,La Niña,70,-60891.667,-16536.042,-2801.406,-103.5,10815.639,1988.75,41465.833,202973.958,-7080.208,8110.0,22,263865.625,4790.156,44250.297
