tipo,bioma,variavel,fase,n,minimo,P10,Q1,mediana,media,Q3,P90,maximo,bigode_inf,bigode_sup,n_outliers,amplitude,IQR,desvio_padrao
anomalia,Mata Atlântica,TST,El Niño,76,-3.032,-0.977,-0.298,0.536,0.707,1.782,2.727,5.037,-3.032,4.813,1,8.068,2.08,1.51
anomalia,Mata Atlântica,TST,Neutro,148,-3.408,-1.6,-0.989,-0.135,-0.181,0.582,1.51,2.748,-3.129,2.748,1,6.156,1.571,1.214
anomalia,Mata Atlântica,TST,La Niña,73,-2.931,-2.163,-1.129,-0.351,-0.37,0.403,1.317,2.532,-2.931,2.532,0,5.463,1.532,1.256
anomalia,Mata Atlântica,WAI,El Niño,76,-0.159,-0.079,-0.052,-0.009,-0.012,0.034,0.057,0.107,-0.159,0.107,0,0.266,0.086,0.059
anomalia,Mata Atlântica,WAI,Neutro,148,-0.128,-0.063,-0.033,0.006,0.0,0.033,0.06,0.14,-0.128,0.113,1,0.268,0.067,0.05
anomalia,Mata Atlântica,WAI,La Niña,73,-0.073,-0.043,-0.025,0.004,0.012,0.044,0.067,0.148,-0.073,0.148,0,0.221,0.07,0.047
anomalia,Mata Atlântica,BURN,El Niño,76,-10152.083,-5660.417,-2050.688,-128.5,1676.885,2175.25,9000.125,56927.083,-7197.917,6219.0,12,67079.167,4225.938,9121.242
anomalia,Mata Atlântica,BURN,Neutro,148,-10052.083,-3241.075,-1539.5,-681.0,-579.45,184.5,1900.7,22977.083,-4031.0,2523.0,21,33029.167,1724.0,3716.808
anomalia,Mata Atlântica,BURN,La Niña,73,-9952.083,-7392.083,-5247.917,-1008.0,-571.022,420.0,3469.8,48997.917,-9952.083,6695.0,5,58950.0,5667.917,8086.843
anomalia,Cerrado,NP,El Niño,76,-56.976,-33.105,-12.299,-0.653,-0.451,16.45,29.416,47.466,-49.853,47.466,1,104.442,28.749,23.207
anomalia,Cerrado,NP,Neutro,148,-69.913,-25.87,-15.711,-2.241,-2.795,11.778,21.572,45.103,-55.083,45.103,2,115.016,27.489,20.969
anomalia,Cerrado,NP,La Niña,73,-51.99,-16.601,-0.975,7.739,6.135,16.083,25.689,42.925,-21.069,33.603,6,94.915,17.058,17.873
anomalia,Cerrado,EV,El Niño,76,-39.726,-17.357,-7.589,1.304,0.55,9.601,17.512,40.036,-31.532,31.185,4,79.763,17.19,15.581
anomalia,Cerrado,EV,Neutro,148,-41.435,-18.666,-10.519,-1.98,-2.307,7.196,13.86,30.87,-34.684,30.87,3,72.306,17.714,13.705
