ano,mes,bioma,precip_mm
2007,6,Cerrado,1.2336
2007,6,Mata Atlântica,30.2114
2007,7,Caatinga,15.8461
2007,7,Cerrado,0.6082
2007,7,Mata Atlântica,41.1821
2007,8,Caatinga,14.2528
2007,8,Cerrado,1.3411
2007,8,Mata Atlântica,41.2669
2007,9,Caatinga,15.2767
2007,9,Cerrado,2.3846
2007,9,Mata Atlântica,50.8060
2007,10,Caatinga,11.4711
2007,10,Cerrado,33.4099
2007,10,Mata Atlântica,45.5308
2007,11,Caatinga,83.9226
2007,11,Cerrado,106.9330
2007,11,Mata Atlântica,108.4214
2007,12,Caatinga,91.0226
2007,12,Cerrado,148.5587
2007,12,Mata Atlântica,109.3583
2008,1,Caatinga,64.1529
2008,1,Cerrado,159.6274
2008,1,Mata Atlântica,80.0103
2008,2,Caatinga,113.9408
2008,2,Cerrado,153.4262
2008,2,Mata Atlântica,117.1056
2008,3,Caatinga,141.0953
2008,3,Cerrado,214.8631
2008,3,Mata Atlântica,133.7613
2008,4,Caatinga,92.8788
2008,4,Cerrado,143.0532
2008,4,Mata Atlântica,40.8033
2008,5,Caatinga,26.0452
2008,5,Cerrado,11.3952
2008,5,Mata Atlântica,35.2362
2008,6,Caatinga,20.1711
2008,6,Cerrado,1.6594
2008,6,Mata Atlântica,82.6394
2008,7,Caatinga,17.2198
2008,7,Cerrado,0.6174
2008,7,Mata Atlântica,47.0245
2008,8,Caatinga,10.8130
2008,8,Cerrado,0.4485
2008,8,Mata Atlântica,24.3157
2008,9,Caatinga,13.8814
2008,9,Cerrado,21.1746
2008,9,Mata Atlântica,28.7776
2008,10,Caatinga,5.5457
2008,10,Cerrado,8.9956
2008,10,Mata Atlântica,14.8354
2008,11,Caatinga,71.0073
2008,11,Cerrado,210.5527
2008,11,Mata Atlântica,139.7681
2008,12,Caatinga,129.1188
2008,12,Cerrado,220.3989
2008,12,Mata Atlântica,143.8893
2009,1,Caatinga,93.5011
2009,1,Cerrado,156.3351
2009,1,Mata Atlântica,104.1705
2009,2,Caatinga,79.5710
2009,2,Cerrado,97.9087
2009,2,Mata Atlântica,47.3814
2009,3,Caatinga,90.1974
2009,3,Cerrado,107.9742
2009,3,Mata Atlântica,94.2343
2009,4,Caatinga,182.8875
2009,4,Cerrado,237.4640
2009,4,Mata Atlântica,214.1261
2009,5,Caatinga,62.9254
2009,5,Cerrado,79.9436
2009,5,Mata Atlântica,134.5015
2009,6,Caatinga,24.4039
2009,6,Cerrado,26.9116
2009,6,Mata Atlântica,66.2954
2009,7,Caatinga,16.8386
2009,7,Cerrado,0.7192
2009,7,Mata Atlântica,51.2437
2009,8,Caatinga,17.0673
2009,8,Cerrado,2.8615
2009,8,Mata Atlântica,67.4763
2009,9,Caatinga,6.4141
2009,9,Cerrado,19.5378
2009,9,Mata Atlântica,27.5360
2009,10,Caatinga,169.7221
2009,10,Cerrado,233.6455
2009,10,Mata Atlântica,173.9403
2009,11,Caatinga,20.8655
2009,11,Cerrado,116.0926
2009,11,Mata Atlântica,35.2427
2009,12,Caatinga,86.6602
2009,12,Cerrado,218.3137
2009,12,Mata Atlântica,49.6347
2010,1,Caatinga,56.3144
2010,1,Cerrado,125.6404
2010,1,Mata Atlântica,37.7750
2010,2,Caatinga,38.8720
2010,2,Cerrado,82.9806
2010,2,Mata Atlântica,58.6426
2010,3,Caatinga,135.5116
2010,3,Cerrado,212.4348
2010,3,Mata Atlântica,203.5650
2010,4,Caatinga,121.3630
2010,4,Cerrado,96.5291
2010,4,Mata Atlântica,179.8464
2010,5,Caatinga,12.9038
2010,5,Cerrado,25.4590
2010,5,Mata Atlântica,57.9836
2010,6,Caatinga,18.7913
2010,6,Cerrado,0.5081
2010,6,Mata Atlântica,31.7727
2010,7,Caatinga,45.2488
2010,7,Cerrado,3.0946
2010,7,Mata Atlântica,117.3678
2010,8,Caatinga,12.8656
2010,8,Cerrado,0.8793
2010,8,Mata Atlântica,40.9675
2010,9,Caatinga,10.7712
2010,9,Cerrado,11.5213
2010,9,Mata Atlântica,33.8734
2010,10,Caatinga,68.3360
2010,10,Cerrado,134.7459
2010,10,Mata Atlântica,68.5449
2010,11,Caatinga,68.1474
2010,11,Cerrado,197.6419
2010,11,Mata Atlântica,157.1155
2010,12,Caatinga,156.4824
2010,12,Cerrado,205.1173
2010,12,Mata Atlântica,122.9075
2011,1,Caatinga,77.1231
2011,1,Cerrado,196.9980
2011,1,Mata Atlântica,81.2670
2011,2,Caatinga,88.7181
2011,2,Cerrado,183.5275
2011,2,Mata Atlântica,40.1767
2011,3,Caatinga,165.0529
2011,3,Cerrado,247.2500
2011,3,Mata Atlântica,157.9162
2011,4,Caatinga,57.2258
2011,4,Cerrado,76.4508
2011,4,Mata Atlântica,184.1266
2011,5,Caatinga,24.2318
2011,5,Cerrado,15.9919
2011,5,Mata Atlântica,72.2991
2011,6,Caatinga,11.1286
2011,6,Cerrado,0.8882
2011,6,Mata Atlântica,38.7024
2011,7,Caatinga,14.0557
2011,7,Cerrado,0.6137
2011,7,Mata Atlântica,33.9212
2011,8,Caatinga,8.4504
2011,8,Cerrado,0.5299
2011,8,Mata Atlântica,21.5341
2011,9,Caatinga,6.1803
2011,9,Cerrado,1.8352
2011,9,Mata Atlântica,21.2306
2011,10,Caatinga,64.2130
2011,10,Cerrado,146.1917
2011,10,Mata Atlântica,94.2701
2011,11,Caatinga,92.5997
2011,11,Cerrado,217.6729
2011,11,Mata Atlântica,167.5212
2011,12,Caatinga,85.2479
2011,12,Cerrado,235.8824
2011,12,Mata Atlântica,143.7765
2012,1,Caatinga,38.3524
2012,1,Cerrado,192.9520
2012,1,Mata Atlântica,51.1191
2012,2,Caatinga,67.6597
2012,2,Cerrado,89.3861
2012,2,Mata Atlântica,58.2261
2012,3,Caatinga,21.1289
2012,3,Cerrado,79.7751
2012,3,Mata Atlântica,35.5369
2012,4,Caatinga,4.9913
2012,4,Cerrado,25.3516
2012,4,Mata Atlântica,13.0357
2012,5,Caatinga,20.5304
2012,5,Cerrado,21.3101
2012,5,Mata Atlântica,84.4876
2012,6,Caatinga,12.8735
2012,6,Cerrado,1.5247
2012,6,Mata Atlântica,54.1132
2012,7,Caatinga,12.3557
2012,7,Cerrado,0.5569
2012,7,Mata Atlântica,47.6318
2012,8,Caatinga,19.2297
2012,8,Cerrado,1.0681
2012,8,Mata Atlântica,92.5729
2012,9,Caatinga,3.7983
2012,9,Cerrado,3.4148
2012,9,Mata Atlântica,23.1799
2012,10,Caatinga,14.0686
2012,10,Cerrado,27.3458
2012,10,Mata Atlântica,55.0914
2012,11,Caatinga,160.3522
2012,11,Cerrado,330.2205
2012,11,Mata Atlântica,197.7885
2012,12,Caatinga,17.1176
2012,12,Cerrado,57.6214
2012,12,Mata Atlântica,7.3684
2013,1,Caatinga,140.9774
2013,1,Cerrado,312.3462
2013,1,Mata Atlântica,123.1155
2013,2,Caatinga,12.1140
