ano,mes,bioma,psn_g_c_m2,ida,et_mm,precip_mm,lst_dia_c,area_queimada_ha
2014,4,Cerrado,138.79655190503766,0.5498858,118.13953203063835,96.42,30.34250000000001,13725
2014,4,Caatinga,108.95111215863662,0.378127,83.60511377445575,90.61,31.542500000000004,400
2015,4,Mata Atlântica,104.73846560091901,0.5350366,106.53307826493719,91.95,30.645000000000003,1025
2015,4,Cerrado,116.63058269959868,0.5468633,108.88594639095378,216.52,30.187750000000005,9675
2015,4,Caatinga,88.44008762242787,0.3481504,74.79477658521641,107.09,33.0225,0
2016,4,Mata Atlântica,106.0739637100971,0.4217123,91.12149201368247,33.95,32.0775,1525
2016,4,Cerrado,86.99122106830615,0.3111058,71.7631801012131,9.49,33.167500000000004,15675
2016,4,Caatinga,74.54048980792508,0.2634875,60.02394634016605,9.83,32.932500000000005,1150
2017,4,Mata Atlântica,129.80284047322587,0.5361969,114.5805336555797,102.68,28.7,0
2017,4,Cerrado,140.8010472007054,0.5039348,113.19935369702252,56.69,30.812499999999996,5725
2017,4,Caatinga,100.554557620065,0.3227108,72.0902512379768,52.54,31.752499999999998,300
2018,4,Mata Atlântica,142.17883358839833,0.5916452,109.61225068948379,114.8,27.1475,800
2018,4,Cerrado,147.48616605495886,0.6067763,121.07676840440043,70.22,29.525000000000002,4275
2018,4,Caatinga,133.6061761273491,0.445613,91.75338826607259,40.46,29.6725,325
2019,4,Mata Atlântica,137.72365242800035,0.6102388,128.33068461111165,102.96,30.0025,375
2019,4,Cerrado,144.7827207848154,0.5659254,122.89751224807702,101.13,32.50000000000001,11000
2019,4,Caatinga,131.90379833821197,0.4726039,104.70126791983108,80.47,32.5225,575
2020,4,Mata Atlântica,138.23667558430444,0.6428533,129.18122070302982,117.81,27.506972725000026,0
2020,4,Cerrado,135.78529540543215,0.6354432,126.93716211853393,139.4,28.787000000000035,18575
2020,4,Caatinga,142.715550690322,0.5808623,124.23101253264934,118.01,27.85390000000001,250
2001,5,Mata Atlântica,112.17247610934,0.6082093,97.91270740630293,109.85,27.786738425000024,0
2001,5,Cerrado,49.80182483666461,0.1977773,43.98481578411056,22.57,30.72695000000003,5650
2001,5,Caatinga,61.60953591717061,0.2180933,43.86931526164605,20.86,32.861600000000024,275
2002,5,Mata Atlântica,133.20825928738566,0.5860435,97.25567347479745,86.96,26.290108700000033,1425
2002,5,Cerrado,48.255573580626546,0.1705038,38.59149816278474,30.29,31.07805000000002,16550
2002,5,Caatinga,76.52271466874994,0.2536787,48.02658700698435,31.8,30.682250000000025,1125
2003,5,Mata Atlântica,119.43399425237509,0.607921,102.61895942806355,140.8877,27.967499999999998,1400
2003,5,Cerrado,104.86395725636896,0.356997,67.50205634933927,26.1497,30.119999999999997,12125
2003,5,Caatinga,87.35620866690658,0.3143309,58.50725373008311,51.56,31.605000000000004,600
2004,5,Mata Atlântica,133.39788579149342,0.657095,110.48572068981647,100.48,26.1575,0
2004,5,Cerrado,129.16884823831836,0.4666854,90.7853868241096,3.72,29.3675,19575
2004,5,Caatinga,119.71744119248021,0.4193579,83.11080620454243,27.02,28.7025,750
2005,5,Mata Atlântica,137.69487320338536,0.6521071,113.26761846475293,158.49,25.895000000000003,550
2005,5,Cerrado,144.15348805300985,0.5168274,96.76755625147553,50.17,27.612800000000032,11275
2005,5,Caatinga,136.0588081828698,0.5006331,92.56209584232936,64.4,27.389999999999997,750
2006,5,Mata Atlântica,142.5229164859692,0.6697351,116.00195121856143,86.22,26.207499999999996,0
2006,5,Cerrado,141.62778592715597,0.5592599,99.64766237277739,43.34,28.105,8825
2006,5,Caatinga,144.57531389076257,0.5615128,103.60228646658803,42.73,27.7775,500
2007,5,Mata Atlântica,136.31359351298426,0.6738714,114.57520855098,57.65,26.612499999999997,2200
2007,5,Cerrado,96.67671239510338,0.2937856,57.43772811286795,10.98,31.047100000000015,32675
2007,5,Caatinga,95.41821005645188,0.3339675,61.96924814265563,15.49,31.005000000000003,1725
2008,5,Mata Atlântica,120.49089801684974,0.5664042,99.43054102412175,33.62,27.4325,2100
2008,5,Cerrado,125.81746403904707,0.4315849,81.40131782851884,11.07,29.282500000000002,9525
2008,5,Caatinga,126.27266505318171,0.4573824,85.72531832219943,25.91,28.8425,350
2009,5,Mata Atlântica,131.30211421258159,0.7044317,112.85104752809099,131.3,25.7,0
2009,5,Cerrado,134.1444438839645,0.6335727,104.25194859439696,78.5,27.377499999999998,13725
2009,5,Caatinga,130.66147545084593,0.6112683,99.64471835763854,63.26,27.3725,2450
2010,5,Mata Atlântica,127.70279402184178,0.6379508,114.9069644197129,56.09,27.42,0
2010,5,Cerrado,123.2840557134988,0.4930102,95.59451318433861,25.42,30.595,10775
2010,5,Caatinga,105.32719857788365,0.3676427,74.76188852750869,12.94,30.842499999999998,200
2011,5,Mata Atlântica,141.01113233440373,0.6788836,113.26345882100709,71.12,25.327499999999997,75
2011,5,Cerrado,145.4402956374708,0.5632139,102.22808623291927,15.64,29.277500000000003,21050
2011,5,Caatinga,119.63089353658007,0.4439936,77.18370007761666,24.3,28.9375,625
2012,5,Mata Atlântica,109.66436831899958,0.517086,85.22159628896922,81.97,28.200000000000003,575
2012,5,Cerrado,94.27073326244383,0.315758,61.704546720259565,21.19,31.29,32850
2012,5,Caatinga,54.27511712326455,0.1620934,31.381397992580887,20.75,32.913333333333334,2700
2013,5,Mata Atlântica,133.09855383927436,0.611072,112.39256955746349,49.56,27.072499999999998,2000
2013,5,Cerrado,120.76576440607175,0.4059429,81.20441838785442,9.77,31.3375,4675
2013,5,Caatinga,85.37215998688316,0.2807221,53.04002077014792,15.44,32.005,275
2014,5,Mata Atlântica,127.00247715015941,0.5761001,105.72077183202907,65.85,27.4425,3525
2014,5,Cerrado,140.93090291299356,0.5088755,99.75841404553782,19.86,29.8225,3900
2014,5,Caatinga,110.25521183457349,0.3462303,68.30217531717597,29.9,30.447499999999998,225
2015,5,Mata Atlântica,121.00256523431928,0.6481179,102.68349137048912,134.36,26.877499999999998,2825
2015,5,Cerrado,143.17036341294613,0.5534002,104.88388379056798,22.35,29.2975,6750
2015,5,Caatinga,107.58098100228099,0.3945782,72.32025945798598,43.31,30.290000000000003,1350
2016,5,Mata Atlântica,99.76711203457063,0.4865237,84.99078303918607,58.88,30.65,3400
2016,5,Cerrado,69.34220965402022,0.2394718,49.435796669814444,2.49,32.839999999999996,5500
2016,5,Caatinga,62.933662540327056,0.226574,44.66921965396355,23.93,32.315,0
2017,5,Mata Atlântica,126.49934370554834,0.620885,114.89327765487803,93.53,27.2075,0
2017,5,Cerrado,120.76597465330393,0.3795177,78.5971270490811,15.53,31.53,10675
2017,5,Caatinga,82.09707686131352,0.2556858,50.94679953369691,27.23,32.6625,475
2018,5,Mata Atlântica,138.56334831599276,0.6381928,112.95832672273494,104.09,26.3125,0
2018,5,Cerrado,147.44933788263685,0.4557691,89.65083436241395,3.71,30.567500000000003,1575
2018,5,Caatinga,108.58301248511094,0.3237006,62.133613746412415,26.92,31.075,800
2019,5,Mata Atlântica,126.29762481159241,0.6485905,124.77162055490045,58.75,27.8375,1475
2019,5,Cerrado,137.931873641817,0.492415,99.55076938908933,35.67,30.91,6000
2019,5,Caatinga,105.45808078189876,0.3581619,71.99358399034104,21.55,31.730000000000004,600
2020,5,Mata Atlântica,133.64898230992517,0.710022,118.06983481625134,105.52,25.228265700000023,0
2020,5,Cerrado,145.43991892769878,0.6143402,113.48813449881757,25.53,28.363300000000038,11500
2020,5,Caatinga,139.77257006900808,0.5968515,109.88408798003074,48.39,26.885200000000026,625
2001,6,Mata Atlântica,127.64608073674593,0.6489262,71.26213369508228,113.79,24.21044685000001,0
2001,6,Cerrado,71.53685023990832,0.190189,35.71930135374818,1.46,29.413100000000014,10875
2001,6,Caatinga,76.52458786638118,0.2369869,33.046572689711404,38.9,29.456000000000017,3350
2002,6,Mata Atlântica,120.75715004375297,0.6221219,79.09194250998415,97.74,23.720802325000022,0
