ano;mes;ONI;FMA_PSN;Cerrado_PSN;Caatinga_PSN;FMA_Evap;Cerrado_Evap;Caatinga_Evap;FMA_PET;Cerrado_PET;Caatinga_PET;FMA_IDA;Cerrado_IDA;Caatinga_IDA;FMA_Temp;Cerrado_Temp;Caatinga_Temp;FMA_Precip;Cerrado_Precip;Caatinga_Precip;FMA_AreaQueimada;Cerrado_AreaQueimada;Caatinga_AreaQueimada
2006;11;0,88;155,2218;126,5548;112,4457;130,755;104,4787;100,718;;;;0,5838;0,4342;0,4082;28,635;33,445;32,4;185,45;166,49;120,7;250,0;7025,0;18525,0
2006;12;0,88;137,3948;108,3522;91,4765;121,5058;92,7861;83,503;;;;0,5648;0,4169;0,3571;30,265;31,855;33,2975;109,93;177,39;59,81;1775,0;36225,0;8700,0
2007;1;0,62;137,6504;101,0444;69,7334;111,888;95,4015;64,7018;;;;0,5098;0,4212;0,2708;30,65;31,88;33,6;42,45;81,71;27,99;2400,0;15425,0;9925,0
2007;2;0,19;123,7807;118,7659;85,9671;108,8386;111,3888;80,3509;;;;0,5239;0,548;0,3646;30,3125;30,15;30,85;271,97;284,28;286,11;75,0;3550,0;275,0
2007;3;-0,12;178,0709;156,5263;146,3102;135,1147;122,7179;114,5053;;;;0,5465;0,4883;0,458;27,795;29,8632;29,095;58,61;44,31;34,18;50,0;15350,0;1425,0
2007;4;-0,32;127,5115;107,0564;89,2494;120,3673;81,0018;80,2058;;;;0,5824;0,3564;0,3702;28,3375;30,7845;30,655;104,8;34,58;49,64;0,0;19350,0;175,0
2007;5;-0,34;136,3136;96,6767;95,4182;114,5752;57,4377;61,9692;;;;0,6739;0,2938;0,334;26,6125;31,0471;31,005;57,65;10,98;15,49;2200,0;32675,0;1725,0
2007;6;-0,41;126,4576;81,2682;88,3676;92,4408;38,606;44,0358;;;;0,567;0,2009;0,2585;25,35;30,05;29,66;29,68;1,23;16,28;2200,0;61300,0;1725,0
2007;7;-0,49;127,5693;64,7132;78,2778;83,6732;30,0971;36,5097;;;;0,5326;0,1428;0,2091;25,8075;31,5625;30,54;40,65;0,6;16,17;2300,0;220450,0;4850,0
2007;8;-0,77;138,1644;59,9435;77,0992;83,3612;26,125;33,0087;;;;0,5132;0,1137;0,1727;26,84;33,945;32,435;40,66;1,32;14,5;1025,0;683775,0;31950,0
2007;9;-1,05;145,5809;31,4346;61,1247;83,3698;21,0068;28,0513;;;;0,4041;0,0803;0,1205;29,545;38,2275;35,7925;50,09;2,36;15,51;5225,0;1139350,0;170300,0
2007;10;-1,38;131,4556;3,2345;34,8773;91,3974;15,4664;21,6876;;;;0,4093;0,0615;0,0905;33,9925;41,4375;39,565;44,52;32,8;11,3;60300,0;597500,0;177825,0
2007;11;-1,57;117,6799;42,7077;51,2243;92,7573;44,8071;41,0425;;;;0,3693;0,1754;0,1548;33,73;40,08;38,6125;107,35;106,27;82,88;32625,0;186575,0;161825,0
2007;12;-1,72;144,2071;100,3768;98,9644;105,1971;74,5594;72,7906;;;;0,4775;0,3293;0,3091;31,33;35,4425;33,23;108,86;148,66;89,95;1750,0;22375,0;7550,0
2008;1;-1,76;138,7391;100,2257;84,4671;103,3364;74,8807;67,7501;;;;0,4755;0,3616;0,2997;32,5233;34,05;34,3533;78,15;158,29;62,89;3900,0;5450,0;11900,0
2008;2;-1,61;141,4098;119,5114;97,4394;115,573;107,384;80,1431;;;;0,4728;0,511;0,3204;31,4725;31,475;33,2725;116,73;151,73;113,05;525,0;4125,0;1050,0
2008;3;-1,37;126,6353;128,8816;123,2533;121,6409;116,1646;102,857;;;;0,5349;0,6098;0,466;30,4575;29,835;31,2525;131,96;213,12;138,81;175,0;7150,0;975,0
2008;4;-1,05;130,3746;132,5148;139,5168;121,4581;110,9205;115,4064;;;;0,5646;0,5462;0,5463;29,41;28,8575;28,53;39,92;141,95;91,0;100,0;21675,0;1475,0
2008;5;-0,85;120,4909;125,8175;126,2727;99,4305;81,4013;85,7253;;;;0,5664;0,4316;0,4574;27,4325;29,2825;28,8425;33,62;11,07;25,91;2100,0;9525,0;350,0
2008;6;-0,56;125,1638;115,0649;111,4548;92,3796;57,7633;57,6367;;;;0,5821;0,3052;0,3248;25,4725;29,21;28,67;81,11;1,67;20,46;1200,0;18425,0;100,0
2008;7;-0,33;138,9429;93,8159;96,6761;89,4035;38,7735;43,7655;;;;0,5448;0,1873;0,2366;25,25;30,2675;29,2025;46,14;0,61;17,48;4425,0;43650,0;175,0
2008;8;-0,2;139,051;62,1248;73,6082;85,6731;29,8596;33,2073;;;;0,4556;0,1229;0,1597;28,095;33,9425;32,875;23,87;0,44;10,93;2575,0;115550,0;5475,0
2008;9;-0,25;130,074;22,2526;49,9948;81,7827;23,8105;27,1531;;;;0,4132;0,0889;0,1144;33,1325;38,5975;36,775;28,34;21,42;13,76;7600,0;264975,0;33100,0
2008;10;-0,36;129,2888;9,4492;37,3287;91,8709;20,0895;22,5086;;;;0,3575;0,0692;0,0864;35,0925;41,3125;39,85;14,5;8,94;5,55;17150,0;482075,0;193625,0
2008;11;-0,57;95,9705;72,4355;53,1494;87,8093;70,5249;45,9488;;;;0,5598;0,4721;0,2458;36,2675;35,0475;38,9525;136,04;211,36;69,84;24975,0;125250,0;230375,0
2008;12;-0,79;135,7687;104,7968;94,4898;101,6095;94,7593;76,7377;;;;0,5875;0,5499;0,3841;31,185;31,7125;32,2975;142,44;219,66;127,74;25,0;2775,0;625,0
2009;1;-0,89;147,6037;132,132;120,9374;116,3736;113,3023;97,8654;;;;0,5545;0,541;0,4152;28,6867;31,4467;32,59;102,95;155,47;92,06;675,0;0,0;6300,0
2009;2;-0,84;157,7448;150,2021;129,0292;121,1622;129,5828;98,9197;;;;0,4935;0,5786;0,3987;31,54;30,5625;31,6975;46,74;96,81;78,47;600,0;1300,0;975,0
2009;3;-0,63;117,1768;124,5187;111,0383;105,1837;113,3419;84,8531;;;;0,4565;0,5551;0,3717;32,54;30,86;32,385;91,73;107,15;88,2;2975,0;16800,0;1500,0
2009;4;-0,35;112,1125;105,9172;103,9932;108,6737;105,7303;94,879;;;;0,6312;0,6825;0,5201;28,9;29,075;29,73;210,59;237,23;181,11;125,0;3225,0;125,0
2009;5;0,03;131,3021;134,1444;130,6615;112,851;104,2519;99,6447;;;;0,7044;0,6336;0,6113;25,7;27,3775;27,3725;131,3;78,5;63,26;0,0;13725,0;2450,0
2009;6;0,34;134,4594;135,8706;128,7694;104,1344;91,9015;80,2598;;;;0,6782;0,5331;0,4647;24,95;28,045;27,84;65,08;26,55;24,19;0,0;11575,0;2625,0
2009;7;0,5;152,0938;129,2052;110,506;105,1552;69,8849;56,7781;;;;0,6194;0,3575;0,3076;25,4125;30,57;30,0375;50,4;0,72;17,13;925,0;18525,0;500,0
2009;8;0,56;150,0208;101,8558;85,9998;98,1063;51,4736;42,0878;;;;0,538;0,2258;0,2076;27,94;33,705;33,2475;66,2;2,88;17,44;275,0;38700,0;1725,0
2009;9;0,66;150,1514;64,5458;56,9216;103,5662;43,9113;31,2976;;;;0,4463;0,1664;0,1274;31,28;37,65;37,74;26,89;19,31;6,42;2150,0;206550,0;43600,0
2009;10;0,92;123,8425;81,0363;80,6016;104,0388;79,4636;67,4409;;;;0,5407;0,5014;0,3318;32,35;32,975;34,7525;172,55;233,78;168,21;1150,0;42775,0;11550,0
2009;11;1,31;154,378;136,6081;106,8245;118,088;111,9081;84,3496;;;;0,4538;0,4491;0,319;32,5475;33,47;34,4125;34,16;115,54;20,29;7075,0;9525,0;5200,0
